aw_deep_link,product_name,aw_product_id,merchant_product_id,merchant_image_url,description,merchant_category,search_price,merchant_name,merchant_id,category_name,category_id,aw_image_url,currency,store_price,delivery_cost,merchant_deep_link,language,last_updated,display_price,data_feed_id,model_number,product_model,ean,isbn,upc,mpn,parent_product_id,product_GTIN,in_stock,base_price
http://www.awin1.com/pclick.php?p=3766891355&a=315735&m=2374,"Adidas Munchen BLACK WHITE",3766891355,2135703962,http://www.office.co.uk/medias/sys_master/root/h18/h27/9095863664670.jpg,"adidas MunchenThe adidas Munchen first debuted in 1976 and is named after Munchen (Munich) in Germany. Featuring nubuck leather upper, synthetic leather 3-stripe branding and heel tab with gold accents and gum rubber outsole.- Nubuck leather/synthetic upper- Black white gum colourway","Trainers > His trainers",74.99,"Office Shoes",2374,"Men's Footwear",189,http://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=www.office.co.uk%2Fmedias%2Fsys_master%2Froot%2Fh18%2Fh27%2F9095863664670.jpg&feedId=12433&k=8dd7e8ed44f4e3d8907873d152447ebe628dad4f,GBP,,,"http://www.office.co.uk/view/product/office_catalog/5,22/2135703962100",en,,GBP74.99,12433,2135703962,,,,,,,,1,
http://www.awin1.com/pclick.php?p=3757633451&a=315735&m=2374,"Adidas Superstar 80s BLACK SUEDE CORK TOE",3757633451,2106005877,http://www.office.co.uk/medias/sys_master/root/hca/h29/9094804799518.jpg,"adidas Superstar 80'sSignature Superstar 80's silhouette with black suede upper, tonal branding, cork effect shell toe and contrasting white rubber sole.- Black suede cork toe  colourway- Suede upper","Trainers > His trainers",40.00,"Office Shoes",2374,"Men's Footwear",189,http://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=www.office.co.uk%2Fmedias%2Fsys_master%2Froot%2Fhca%2Fh29%2F9094804799518.jpg&feedId=12433&k=fdf8ea750d97e86b3fd6ebc5c4a2bbdddecde05c,GBP,,3.50,"http://www.office.co.uk/view/product/office_catalog/5,22/2106005877045",en,,GBP40.00,12433,2106005877,,,,,,,,1,
http://www.awin1.com/pclick.php?p=7606054351&a=315735&m=2374,"Adidas Nmd Xr1 BLACK SOLID GREY WHITE PK",7606054351,2545805984,http://www.office.co.uk/medias/sys_master/root/hd6/h2e/9117185638430.jpg,"Adidas NMD XR1 RunnerThe NMD XR1 features a shoelace cage with perforated side panels over, light weight primeknit upper and sock like construction. Complete with back pull tab sat upon a micro-engineered BOOST midsole for greater energy return and agility, with EVA pellets that provide extra stability and shock-resistance.- Textile upper- Boost sole- EVA pellets- Black solid grey white pk  colourway","Trainers > His trainers",80.00,"Office Shoes",2374,"Men's Footwear",189,http://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=www.office.co.uk%2Fmedias%2Fsys_master%2Froot%2Fhd6%2Fh2e%2F9117185638430.jpg&feedId=12433&k=da7587371c2980d657123d54c736f73684369f67,GBP,,3.50,"http://www.office.co.uk/view/product/office_catalog/5,22/2545805984040",en,,GBP80.00,12433,2545805984,,,,,,,,1,
http://www.awin1.com/pclick.php?p=3721362727&a=315735&m=2374,"Adidas Hamburg COLLEGIATE BURGUNDY GUM EXCLUSIVE",3721362727,1576762344,http://www.office.co.uk/medias/sys_master/root/h24/h5b/9089542520862.jpg,"Hamburg by adidas The Hamburg is one of adidas' most revered products with its clean styling and classic silhouette. This exclusive iteration features burgundy suede uppers with leather three stripe detail and branded heel tab. The shoe is finished with a rubber gum sole, gold branded accents on the tongue and side panel.- Suede Leather Construction - Collegiate burgundy gum exclusive colourway","Trainers > His trainers",71.99,"Office Shoes",2374,"Men's Footwear",189,http://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=www.office.co.uk%2Fmedias%2Fsys_master%2Froot%2Fh24%2Fh5b%2F9089542520862.jpg&feedId=12433&k=3cd2c4a96e13d5966a08c2f913280fc8e79b51a0,GBP,,,"http://www.office.co.uk/view/product/office_catalog/5,22/1576762344070",en,,GBP71.99,12433,1576762344,,,,,,,,1,
http://www.awin1.com/pclick.php?p=5537172489&a=315735&m=2374,"Adidas Munchen WHITE BLACK GUM",5537172489,2135711991,http://www.office.co.uk/medias/sys_master/root/ha0/hd4/9112880119838.jpg,"adidas MunchenThe adidas Munchen - named after a German city and originating in the 1976, has recently resurfaced as part of adidas' revival of true classics. Featuring leather upper, synthetic leather 3-stripe branding and heel tab with gold accents and gum rubber outsole.- Leather upper- Rubber sole- White black gum  colourway","Trainers > His trainers",74.99,"Office Shoes",2374,"Men's Footwear",189,http://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=www.office.co.uk%2Fmedias%2Fsys_master%2Froot%2Fha0%2Fhd4%2F9112880119838.jpg&feedId=12433&k=01ee6303b56e2c8caceb60c6bce998b1fe099a5b,GBP,,,"http://www.office.co.uk/view/product/office_catalog/5,22/2135711991110",en,,GBP74.99,12433,2135711991,,,,,,,,1,
http://www.awin1.com/pclick.php?p=3591232011&a=315735&m=2374,"Adidas Gazelle CORE BLACK WHITE",3591232011,2101704570,http://www.office.co.uk/medias/sys_master/root/h5a/h8e/9086907842590.jpg,"Gazelle by AdidasFirst issued in 1968 as an all around training shoe, the Gazelle had a streamlined profile and innovative cushioning that made it a hit among top athletes. For this reissue, the classic terrace trainer features a black suede upper with white signature branding and clean rubber outsole.- Suede upper- White rubber outsole- Signature 3-stripe branding in leather on the side- Black white colourway","Trainers > His trainers",74.99,"Office Shoes",2374,"Men's Footwear",189,http://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=www.office.co.uk%2Fmedias%2Fsys_master%2Froot%2Fh5a%2Fh8e%2F9086907842590.jpg&feedId=12433&k=7754ad654a8925358a6eecaf7403fe17f71a24cb,GBP,,,"http://www.office.co.uk/view/product/office_catalog/5,22/2101704570050",en,,GBP74.99,12433,2101704570,,,,,,,,1,
http://www.awin1.com/pclick.php?p=3606315925&a=315735&m=2374,"Adidas Gazelle WHITE",3606315925,2101711642,http://www.office.co.uk/medias/sys_master/root/h80/h2b/9086928093214.jpg,"Gazelle by AdidasFirst issued in 1968 as an all around training shoe, the Gazelle had a streamlined profile and innovative cushioning that made it a hit among top athletes. For this reissue, the classic terrace trainer features an all white leather upper with gold signature branding and clean rubber outsole. - Leather upper - White rubber outsole - Signature 3-stripe branding on the side - White mono colourway","Trainers > His trainers",74.99,"Office Shoes",2374,"Men's Footwear",189,http://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=www.office.co.uk%2Fmedias%2Fsys_master%2Froot%2Fh80%2Fh2b%2F9086928093214.jpg&feedId=12433&k=89212db8bc99f9468ff443b7422550d1a465de4e,GBP,,,"http://www.office.co.uk/view/product/office_catalog/5,22/2101711642070",en,,GBP74.99,12433,2101711642,,,,,,,,1,
http://www.awin1.com/pclick.php?p=11544368417&a=315735&m=2374,"Adidas Gazelle TACTILE STEEL WHITE GOLD",11544368417,2101723502,http://www.office.co.uk/medias/sys_master/root/h0c/h4a/9124085301278.jpg,"adidas Gazelle Classic Gazelle silhouette with tactile steel suede upper, leather 3-stripe branding, complete with white rubber outsole.- Suede upper - Rippled rubber outsole- Tactile steel white gold  colourway","Trainers > His trainers",74.99,"Office Shoes",2374,"Men's Footwear",189,http://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=www.office.co.uk%2Fmedias%2Fsys_master%2Froot%2Fh0c%2Fh4a%2F9124085301278.jpg&feedId=12433&k=2619547fb84023a7ea2d561ebbf80b7a25ef089c,GBP,,,"http://www.office.co.uk/view/product/office_catalog/5,22/2101723502040",en,,GBP74.99,12433,2101723502,,,,,,,,1,
http://www.awin1.com/pclick.php?p=7199580303&a=315735&m=2374,"Adidas Nmd R1 Prime Knit BLACK BLACK GUM",7199580303,2528905073,http://www.office.co.uk/medias/sys_master/root/hed/h26/9116344057886.jpg,"Adidas NMD R1 PrimeknitThe NMD R1 Primeknit style features sock like construction, light weight knit upper and suede heel panel. Complete with back pull tab sat upon a micro-engineered BOOST midsole for greater energy return and agility, with EVA pellets that provide extra stability and shock-resistance.- Textile upper- Boost sole- EVA pellets- Black black gum colourway","Trainers > His trainers",130.00,"Office Shoes",2374,"Men's Footwear",189,http://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=www.office.co.uk%2Fmedias%2Fsys_master%2Froot%2Fhed%2Fh26%2F9116344057886.jpg&feedId=12433&k=1904781d83276b9558bd5f741cf29e1b81a81678,GBP,,,"http://www.office.co.uk/view/product/office_catalog/5,22/2528905073090",en,,GBP130.00,12433,2528905073,,,,,,,,1,
http://www.awin1.com/pclick.php?p=7199580305&a=315735&m=2374,"Adidas Nmd R1 Prime Knit WHITE WHITE BLACK",7199580305,2528911764,http://www.office.co.uk/medias/sys_master/root/h99/h1e/9116539551774.jpg,"Adidas NMD R1 PrimeknitThe NMD R1 Primeknit style features sock like construction, light weight knit upper and suede heel panel. Complete with back pull tab sat upon a micro-engineered BOOST midsole for greater energy return and agility, with EVA pellets that provide extra stability and shock-resistance.- Textile upper- Boost sole- EVA pellets- White white black colourway","Trainers > His trainers",90.00,"Office Shoes",2374,"Men's Footwear",189,http://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=www.office.co.uk%2Fmedias%2Fsys_master%2Froot%2Fh99%2Fh1e%2F9116539551774.jpg&feedId=12433&k=8ad26da50860471c9c327104f142491a5eab3e10,GBP,,3.50,"http://www.office.co.uk/view/product/office_catalog/5,22/2528911764040",en,,GBP90.00,12433,2528911764,,,,,,,,1,
